label,similarity,image_path
0,0.36361467838287354,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01440764/n01440764_15073.JPEG
1,0.3600239157676697,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01443537/n01443537_17680.JPEG
2,0.3679932653903961,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01484850/n01484850_2259.JPEG
3,0.37204068899154663,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01491361/n01491361_10350.JPEG
4,0.37772494554519653,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01494475/n01494475_15475.JPEG
5,0.3808678686618805,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01496331/n01496331_29675.JPEG
6,0.37655115127563477,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01498041/n01498041_6544.JPEG
7,0.3731048107147217,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01514668/n01514668_12931.JPEG
8,0.387104868888855,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01514859/n01514859_4313.JPEG
9,0.35947364568710327,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01518878/n01518878_102.JPEG
10,0.368884801864624,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01530575/n01530575_10692.JPEG
11,0.35818397998809814,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01531178/n01531178_23527.JPEG
12,0.35986101627349854,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01532829/n01532829_25303.JPEG
13,0.36415672302246094,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01534433/n01534433_981.JPEG
14,0.36168238520622253,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01537544/n01537544_10216.JPEG
15,0.3674483299255371,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01558993/n01558993_4531.JPEG
16,0.3811114430427551,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01560419/n01560419_19733.JPEG
17,0.3665982782840729,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01580077/n01580077_5486.JPEG
18,0.36697959899902344,/space0/fancy/project/PKT/./datasets/data/ILSVRC2012/train/n01582220/n01582220_9349.JPEG
