label,probability,image_path
0,0.9999736547470093,./datasets/data/ILSVRC2012/train/n01440764/n01440764_13161.JPEG
1,0.999951958656311,./datasets/data/ILSVRC2012/train/n01443537/n01443537_16963.JPEG
2,0.9999597072601318,./datasets/data/ILSVRC2012/train/n01484850/n01484850_19550.JPEG
3,0.9998924732208252,./datasets/data/ILSVRC2012/train/n01491361/n01491361_6761.JPEG
4,0.9999470710754395,./datasets/data/ILSVRC2012/train/n01494475/n01494475_1278.JPEG
5,0.9999613761901855,./datasets/data/ILSVRC2012/train/n01496331/n01496331_31637.JPEG
6,0.9999240636825562,./datasets/data/ILSVRC2012/train/n01498041/n01498041_3411.JPEG
7,0.9998688697814941,./datasets/data/ILSVRC2012/train/n01514668/n01514668_12814.JPEG
8,0.9998059868812561,./datasets/data/ILSVRC2012/train/n01514859/n01514859_4842.JPEG
9,0.9999600648880005,./datasets/data/ILSVRC2012/train/n01518878/n01518878_2160.JPEG
10,0.9999567270278931,./datasets/data/ILSVRC2012/train/n01530575/n01530575_2918.JPEG
11,0.9998822212219238,./datasets/data/ILSVRC2012/train/n01531178/n01531178_18346.JPEG
12,0.9999501705169678,./datasets/data/ILSVRC2012/train/n01532829/n01532829_3815.JPEG
13,0.9999558925628662,./datasets/data/ILSVRC2012/train/n01534433/n01534433_28808.JPEG
14,0.9998780488967896,./datasets/data/ILSVRC2012/train/n01537544/n01537544_22824.JPEG
15,0.99994957447052,./datasets/data/ILSVRC2012/train/n01558993/n01558993_2266.JPEG
16,0.9999750852584839,./datasets/data/ILSVRC2012/train/n01560419/n01560419_19733.JPEG
17,0.9999525547027588,./datasets/data/ILSVRC2012/train/n01580077/n01580077_29469.JPEG
18,0.9999439716339111,./datasets/data/ILSVRC2012/train/n01582220/n01582220_5572.JPEG
19,0.9999730587005615,./datasets/data/ILSVRC2012/train/n01592084/n01592084_9573.JPEG
20,0.999994158744812,./datasets/data/ILSVRC2012/train/n01601694/n01601694_13787.JPEG
21,0.9999638795852661,./datasets/data/ILSVRC2012/train/n01608432/n01608432_4329.JPEG
22,0.9999412298202515,./datasets/data/ILSVRC2012/train/n01614925/n01614925_36437.JPEG
23,0.9999583959579468,./datasets/data/ILSVRC2012/train/n01616318/n01616318_4881.JPEG
24,0.9999895095825195,./datasets/data/ILSVRC2012/train/n01622779/n01622779_18759.JPEG
25,0.9999200105667114,./datasets/data/ILSVRC2012/train/n01629819/n01629819_31088.JPEG
26,0.9998855590820312,./datasets/data/ILSVRC2012/train/n01630670/n01630670_8201.JPEG
27,0.9999587535858154,./datasets/data/ILSVRC2012/train/n01631663/n01631663_8083.JPEG
28,0.9999300241470337,./datasets/data/ILSVRC2012/train/n01632458/n01632458_2974.JPEG
29,0.9999923706054688,./datasets/data/ILSVRC2012/train/n01632777/n01632777_15304.JPEG
30,0.9999430179595947,./datasets/data/ILSVRC2012/train/n01641577/n01641577_17177.JPEG
31,0.9998553991317749,./datasets/data/ILSVRC2012/train/n01644373/n01644373_9212.JPEG
32,0.9998400211334229,./datasets/data/ILSVRC2012/train/n01644900/n01644900_9773.JPEG
33,0.999945878982544,./datasets/data/ILSVRC2012/train/n01664065/n01664065_19273.JPEG
34,0.999981164932251,./datasets/data/ILSVRC2012/train/n01665541/n01665541_3108.JPEG
35,0.9997453093528748,./datasets/data/ILSVRC2012/train/n01667114/n01667114_11707.JPEG
36,0.999670147895813,./datasets/data/ILSVRC2012/train/n01667778/n01667778_5537.JPEG
37,0.9998301267623901,./datasets/data/ILSVRC2012/train/n01669191/n01669191_3849.JPEG
38,0.9999719858169556,./datasets/data/ILSVRC2012/train/n01675722/n01675722_2035.JPEG
39,0.9999840259552002,./datasets/data/ILSVRC2012/train/n01677366/n01677366_46624.JPEG
40,0.9994999170303345,./datasets/data/ILSVRC2012/train/n01682714/n01682714_22715.JPEG
41,0.9999680519104004,./datasets/data/ILSVRC2012/train/n01685808/n01685808_1075.JPEG
42,0.9999865293502808,./datasets/data/ILSVRC2012/train/n01687978/n01687978_5616.JPEG
43,0.9999902248382568,./datasets/data/ILSVRC2012/train/n01688243/n01688243_4936.JPEG
44,0.9999771118164062,./datasets/data/ILSVRC2012/train/n01689811/n01689811_2555.JPEG
45,0.9999901056289673,./datasets/data/ILSVRC2012/train/n01692333/n01692333_517.JPEG
46,0.9995902180671692,./datasets/data/ILSVRC2012/train/n01693334/n01693334_1558.JPEG
