title	filepath
a negative review of a movie.	./datasets/data/sst2/train/negative/0.png
a negative review of a movie.	./datasets/data/sst2/train/negative/3.png
a negative review of a movie.	./datasets/data/sst2/train/negative/5.png
a negative review of a movie.	./datasets/data/sst2/train/negative/10.png
a negative review of a movie.	./datasets/data/sst2/train/negative/13.png
a negative review of a movie.	./datasets/data/sst2/train/negative/16.png
a negative review of a movie.	./datasets/data/sst2/train/negative/17.png
a negative review of a movie.	./datasets/data/sst2/train/negative/20.png
a negative review of a movie.	./datasets/data/sst2/train/negative/21.png
a negative review of a movie.	./datasets/data/sst2/train/negative/23.png
a negative review of a movie.	./datasets/data/sst2/train/negative/25.png
a negative review of a movie.	./datasets/data/sst2/train/negative/26.png
a negative review of a movie.	./datasets/data/sst2/train/negative/27.png
a negative review of a movie.	./datasets/data/sst2/train/negative/28.png
a negative review of a movie.	./datasets/data/sst2/train/negative/31.png
a negative review of a movie.	./datasets/data/sst2/train/negative/32.png
a negative review of a movie.	./datasets/data/sst2/train/negative/33.png
a negative review of a movie.	./datasets/data/sst2/train/negative/34.png
a negative review of a movie.	./datasets/data/sst2/train/negative/36.png
a negative review of a movie.	./datasets/data/sst2/train/negative/37.png
a negative review of a movie.	./datasets/data/sst2/train/negative/38.png
a negative review of a movie.	./datasets/data/sst2/train/negative/39.png
a negative review of a movie.	./datasets/data/sst2/train/negative/42.png
a negative review of a movie.	./datasets/data/sst2/train/negative/43.png
a negative review of a movie.	./datasets/data/sst2/train/negative/44.png
a negative review of a movie.	./datasets/data/sst2/train/negative/45.png
a negative review of a movie.	./datasets/data/sst2/train/negative/49.png
a negative review of a movie.	./datasets/data/sst2/train/negative/51.png
a negative review of a movie.	./datasets/data/sst2/train/negative/55.png
a negative review of a movie.	./datasets/data/sst2/train/negative/56.png
a negative review of a movie.	./datasets/data/sst2/train/negative/59.png
a negative review of a movie.	./datasets/data/sst2/train/negative/60.png
a negative review of a movie.	./datasets/data/sst2/train/negative/61.png
a negative review of a movie.	./datasets/data/sst2/train/negative/66.png
a negative review of a movie.	./datasets/data/sst2/train/negative/67.png
a negative review of a movie.	./datasets/data/sst2/train/negative/68.png
a negative review of a movie.	./datasets/data/sst2/train/negative/70.png
a negative review of a movie.	./datasets/data/sst2/train/negative/71.png
a negative review of a movie.	./datasets/data/sst2/train/negative/85.png
a negative review of a movie.	./datasets/data/sst2/train/negative/86.png
a negative review of a movie.	./datasets/data/sst2/train/negative/87.png
