label,probability,image_path
0,0.9997267127037048,./datasets/data/ILSVRC2012/train/n01440764/n01440764_1608.JPEG
1,0.9995478987693787,./datasets/data/ILSVRC2012/train/n01443537/n01443537_20228.JPEG
2,0.9995707869529724,./datasets/data/ILSVRC2012/train/n01484850/n01484850_22105.JPEG
3,0.999272882938385,./datasets/data/ILSVRC2012/train/n01491361/n01491361_7037.JPEG
4,0.999340832233429,./datasets/data/ILSVRC2012/train/n01494475/n01494475_2942.JPEG
5,0.9995194673538208,./datasets/data/ILSVRC2012/train/n01496331/n01496331_2368.JPEG
6,0.9996680021286011,./datasets/data/ILSVRC2012/train/n01498041/n01498041_6768.JPEG
7,0.9990701079368591,./datasets/data/ILSVRC2012/train/n01514668/n01514668_31541.JPEG
8,0.9987950325012207,./datasets/data/ILSVRC2012/train/n01514859/n01514859_19101.JPEG
9,0.9995228052139282,./datasets/data/ILSVRC2012/train/n01518878/n01518878_2941.JPEG
10,0.9994934797286987,./datasets/data/ILSVRC2012/train/n01530575/n01530575_10485.JPEG
11,0.9995802044868469,./datasets/data/ILSVRC2012/train/n01531178/n01531178_10690.JPEG
12,0.9988939166069031,./datasets/data/ILSVRC2012/train/n01532829/n01532829_10776.JPEG
13,0.9996622800827026,./datasets/data/ILSVRC2012/train/n01534433/n01534433_28721.JPEG
14,0.999301552772522,./datasets/data/ILSVRC2012/train/n01537544/n01537544_13516.JPEG
15,0.999595582485199,./datasets/data/ILSVRC2012/train/n01558993/n01558993_10933.JPEG
16,0.9997130036354065,./datasets/data/ILSVRC2012/train/n01560419/n01560419_8313.JPEG
17,0.9994258880615234,./datasets/data/ILSVRC2012/train/n01580077/n01580077_28051.JPEG
18,0.9996017813682556,./datasets/data/ILSVRC2012/train/n01582220/n01582220_11564.JPEG
19,0.999484658241272,./datasets/data/ILSVRC2012/train/n01592084/n01592084_1344.JPEG
20,0.9996896982192993,./datasets/data/ILSVRC2012/train/n01601694/n01601694_13877.JPEG
21,0.9994282126426697,./datasets/data/ILSVRC2012/train/n01608432/n01608432_1444.JPEG
22,0.9994921684265137,./datasets/data/ILSVRC2012/train/n01614925/n01614925_6683.JPEG
23,0.9994608759880066,./datasets/data/ILSVRC2012/train/n01616318/n01616318_502.JPEG
24,0.9997904896736145,./datasets/data/ILSVRC2012/train/n01622779/n01622779_10866.JPEG
25,0.9988964796066284,./datasets/data/ILSVRC2012/train/n01629819/n01629819_24660.JPEG
26,0.9994440674781799,./datasets/data/ILSVRC2012/train/n01630670/n01630670_589.JPEG
